id,Sexe,Age,Continent,NbCafeSemaine,NbBiereSemaine,TransportFavori,PaiementFavori
1,M,47,AF,18,5,Voiture,PayPal
2,M,65,OC,17,20,Bateau,Comptant
3,F,26,AN,7,19,Metro,Comptant
4,F,29,AS,1,18,Avion,Credit
5,M,43,AS,9,2,Bateau,PayPal
6,M,83,OC,20,21,Metro,PayPal
7,M,69,NA,18,11,Velo,PayPal
8,M,72,NA,19,17,Metro,PayPal
9,F,84,AS,19,9,Velo,PayPal
10,F,92,OC,9,9,Metro,Credit
11,F,46,OC,7,20,Train,Credit
12,F,59,AF,3,3,Bateau,Comptant
13,M,48,NA,18,11,Velo,Comptant
14,F,80,AS,11,21,Voiture,Comptant
15,M,51,SA,17,7,Metro,PayPal
16,F,27,SA,14,17,Velo,Comptant
17,F,57,AS,16,5,Avion,Credit
18,F,92,EU,9,16,Bateau,Comptant
19,F,48,EU,15,14,Voiture,Credit
20,F,22,AF,6,8,Velo,PayPal
21,M,44,AS,8,14,Voiture,PayPal
22,F,41,AF,1,4,Avion,PayPal
23,F,24,AS,13,9,Bateau,Comptant
24,F,35,AF,9,6,Train,Comptant
25,F,42,AN,14,20,Metro,Comptant
26,M,83,EU,9,13,Voiture,Comptant
27,F,92,OC,17,10,Metro,Comptant
28,F,55,AF,0,12,Train,Credit
29,F,47,AS,8,7,Voiture,Credit
30,M,51,SA,18,2,Train,Comptant
31,M,32,AN,1,20,Train,Credit
32,M,26,EU,12,14,Avion,Credit
33,F,62,OC,7,6,Train,PayPal
34,F,61,SA,4,1,Bateau,Credit
35,F,91,AS,1,2,Avion,PayPal
36,F,25,SA,5,1,Bateau,PayPal
37,F,66,AS,10,4,Velo,Comptant
38,M,33,NA,7,2,Avion,Credit
39,M,59,AS,13,7,Bateau,Credit
40,M,52,NA,0,13,Metro,Credit
41,M,94,SA,8,12,Bateau,PayPal
42,M,96,AN,12,4,Velo,PayPal
43,F,53,AS,21,10,Voiture,PayPal
44,F,83,AS,14,13,Train,Comptant
